si_no,name,project_id,po_number,product_name,price,quantity,total_price,po_date,delivery_date,remarks
78,HAPPY SYED ENTERPRISES,AV63,PO-HNV/2627/0038,A007-100-SP01A  Machining with material as per drawing,45,96,4320,13-04-2026,14-04-2026,1.Inspection report & material certificate required.
79,Allamaprabhu cnc technologies,AT210,PO-HNV/2627/0040,Brass washers'- machining with material as per drawing,85,60,5100,13-04-2026,13-04-2026,
80,Allamaprabhu cnc technologies,"AM94U, AM86U",PO-HNV/2627/0041,FLANGE WELDING AM94-M-Job work Turning & Welding as per drawing,850,150,127500,14-04-2026,15-04-2026,1.Inspection report required at the time of dispatch.
81,,,,Chamber body -Job work turning and welding as per drawing.,760,191,145160,,,
82,Allamaprabhu cnc technologies,NB19,PO-HNV/2627/0042,P-0000024509-2 GUIDE PIN-HALF  Only turning with materual as per drawing.,100,410,41000,14-04-2026,22-04-2026,1.Inspection report and material certificate required at the time of delivery.
83,Allamaprabhu cnc technologies,RT025,PO-HNV/2627/0043,Pivot shaft -Job work Turning & Taping.,165,216,35640,14-04-2026,19-04-2026,"1.Inspection report required at the time of delivery.
2.Parts Movement to Taping ,HT and grinding supplier scope."
84,Super Mill Technology,NB19,PO-HNV/2627/0045,131605 -machining with material as per drawing.,550,35,19250,15-04-2026,17-04-2026,1.Inspection report and material Tc required at the time of dispatch.
85,Alcon technologies,UHM01,PO-HNV/2627/0046,C2 Charger  Base As machined,140,2000,280000,15-04-2026,21-04-2026,
86,Guri Industries,AV63,PO-HNV/2627/0047,A007-100-E3913A,1200,86,103200,16-04-2026,20-04-2026,
87,,,,A007-100-E3917A,1200,86,103200,,,
88,,,,031998M100-011,160,86,13760,,,
89,Guri Industries,AV60/61/62,PO-HNV/2627/0048,A007-100-100-62117C,1700,4,6800,16-04-2026,20-04-2026,
90,,,,A007-100-100-E3905E,1400,4,5600,,,
91,,,,A007-100-100-E3915E,6500,4,26000,,,
92,Skymate technologies,NB19,PO-HNV/2627/0050,130552-001 Machining with material as per drawing,2000,30,60000,21-04-2026,27-04-2026,1. Material certificate
93,,,,130795-001,2000,40,80000,,,
